channel_id,F13_17,F18_24,F25_34,F35_44,F45_54,F55_64,F65,M13_17,M18_24,M25_34,M35_44,M45_54,M55_64,M65
UCoQx9PRaSk2co5OrtAIKvCg,8,27,19,12,9,4,2,2,6,4,3,2,1,1
UCoSxVcHd5cLqlbRcu-0CpMg,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UCOYd2lahrTQ19tCsVu7IGng,4,17,12,16,11,5,3,2,8,6,8,5,2,1
UCOzxM1-t3e-TgoQp6nZGWsQ,6,30,24,14,9,4,2,1,4,3,2,1,0,0
UCPcLtzQge7ytiW22shELp6w,8,25,19,13,10,4,3,2,6,4,3,2,1,0
UCpeq48jOyzPxoqfeSwMZ2uA,8,36,26,10,5,2,1,1,4,4,2,1,0,0
UCple1_35H_4wOQo_OryXlrw,8,36,25,10,5,2,1,1,5,4,2,1,0,0
UCPLo-rNY1rmknNRQ9m0P6AA,4,24,26,12,9,4,2,1,6,6,3,2,1,0
UCpzsJGBbjvioyBv6wLcxF5g,6,34,26,9,4,2,1,1,6,5,3,2,1,0
UCq-j72zhxlWrFHI5tPVc2ag,6,25,21,11,7,3,2,2,8,6,4,3,1,1
UCQ16RZpUFUJE5hzHBkdM7tg,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCq8dWevtTXOrElZkaSptrvQ,6,36,27,10,5,2,1,1,5,4,2,1,0,0
UCqItq9z1CNf_1kz0EPwiXVg,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UCqnlLQytrn75s_5gSQ0CUBQ,6,35,26,10,5,2,1,1,5,5,3,1,0,0
UCR19aHW_92TAKGLoTH01Z7w,5,33,21,6,3,1,0,2,10,9,4,3,2,0
UCR7KlsfF3nJViQl4BxpyShw,8,27,20,12,8,4,2,2,6,5,3,2,1,0
UCR8th9vv4cSnfoY-Gx5hnbA,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCr9dFkKR6sX8YJRXUTYIwqA,6,35,25,9,4,2,1,1,6,5,3,2,1,0
UCRiIf6rt91BVfZVtURRXlOw,8,35,24,10,6,3,2,1,4,4,2,1,0,0
UCrlUlicedicJ5mlibqC62Eg,5,29,20,8,5,2,1,2,8,10,5,3,2,1
UCRZF1J1q1udw8WEgskUrHOQ,6,35,30,10,5,2,1,0,4,4,2,1,0,0
UCSKhWZszI-JxeGwm16CD9SA,4,17,15,11,8,4,3,2,10,9,7,5,3,2
UCTD9TfBzmHnxTjfUoo2Decg,8,34,19,6,3,1,0,2,11,7,3,4,1,0
UCtyfbLrbFLiP73m_-PQ14Uw,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCU8fctGh4wlWESYMwlOYWxg,8,38,26,8,5,2,1,1,4,4,2,1,0,0
UCUeVdhdq6tF4wIojud9PMdw,3,30,30,11,6,2,1,1,7,7,2,1,0,0
UCUqh8IuIbuh5fX8R5T33jHA,8,31,22,10,6,3,1,2,6,5,3,2,1,0
UCVgcaXJcSGIYrJdlVIhL-Cw,5,31,26,10,5,2,1,1,6,6,4,2,1,0
UCVi4J5y_uvl-t2wFE7Oz7lg,4,16,16,14,11,5,3,2,8,8,6,5,2,0
UCvoD5jwxyoQ_V0aNun6jSyA,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCvpD0KP2b7nVLbEAydjjNaQ,3,27,22,7,5,1,1,2,13,11,4,3,1,0
UCvS1DglC6nUaJ4NokJUiEsg,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCW67yGQxNNMnLqRHyaTjygA,3,7,19,27,18,4,4,1,1,3,9,5,0,0
UCW6SwPWWAJ0asdYzoi1dU7A,4,18,16,16,10,3,1,2,9,7,7,5,1,1
UCWAGyolTIz5RjfDtY1JrOXg,5,27,16,8,6,4,2,2,7,8,5,6,3,1
UCwCLfYVfvsPFkSlmZkmgzrw,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCWG2V_vUz2bLKX-RzdXP_wg,2,8,10,8,6,3,2,2,12,17,12,10,5,3
UCWHig0Xw_Tl7tkI9yOuKICQ,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCWltt-7JK8k6IZjtuKzEdVA,4,20,20,12,9,4,2,2,8,8,5,4,2,0
UCws1IgSlb_uedUUGpyH3jeQ,2,10,13,8,6,3,2,2,13,17,10,8,4,2
UCwwfbGYkRBNAJ-qH2ttoqbg,12,39,18,8,4,2,1,2,7,4,2,1,0,0
UCxQFCdMag6smOQVAObGBIgA,5,30,27,12,8,4,2,1,4,4,2,1,0,0
UCXuzhVKNO9ZLm1q7edeipIw,4,32,27,10,5,2,1,1,5,7,4,1,0,0
UCY2YdDn7zXtRbNR0fJ9V_YQ,5,37,29,10,3,1,0,1,3,4,3,3,1,0
UCY4wVMhBE_nHogy_F8LPg-A,5,31,25,10,6,3,2,1,6,5,3,2,1,0
UCYfAankzCbhjIV4EsU4Vzdw,8,31,22,10,6,3,1,2,6,5,3,2,1,0
UCYuMEcmNpz03jmS9DSNJexw,8,35,21,8,4,2,1,2,8,5,3,2,1,0
UCZ-oeQmEiTLw4d5PSDyd1Cw,5,28,24,12,8,3,2,1,6,5,3,2,1,0
UCzakhxUBI6EhF-FgWxldW0w,6,28,22,11,6,2,1,2,8,6,4,3,1,0
UCzB4SMiJegcyFlnFvosUVcg,4,22,25,14,11,5,3,1,4,5,3,2,1,0
