channel_id,F13_17,F18_24,F25_34,F35_44,F45_54,F55_64,F65,M13_17,M18_24,M25_34,M35_44,M45_54,M55_64,M65
UC58GUNps_MNTjEguFA1bThA,4,24,27,12,8,4,2,1,6,6,3,2,1,0
UC5gyhspuTp-qt_AGLamD5Fg,9,38,26,8,4,1,1,1,5,4,2,1,0,0
UC5lrpwLQMmgMh2R_rs2EXwA,4,17,12,16,11,5,3,2,8,6,8,5,2,1
UC5TJGSApJo7dM52PMBpKYew,8,38,25,9,5,2,1,1,4,4,2,1,0,0
UC5tlHwbUnxart0QV_kFI7lA,2,12,21,16,14,8,4,1,4,6,5,4,2,1
UC6gbVH-zlupe0E1iUbnI8XQ,8,37,24,9,4,1,1,1,6,5,3,1,0,0
UC6i1frmbnlYbMRM9NthF8yQ,6,35,28,10,5,2,1,1,5,4,2,1,0,0
UC6ngJ69OTKaFgQobV6EOmcw,8,34,22,8,4,2,1,2,8,5,3,2,1,0
UC7gDQCxC1wr955ECW6wSOoA,6,28,22,12,8,2,1,2,8,6,3,2,0,0
UC7YZs-gjYRCuDRPPym9Pm9g,8,34,24,8,3,1,1,2,8,6,3,2,0,0
UC8cBqbVAQVltRE039s_H6nA,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UC8IZgwaUso-ZJEN0jg76iuQ,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UC8yDQSGOYqcSpxLk9H5nY0A,4,17,12,16,11,5,3,2,8,6,8,5,2,1
UC8ZV536uF4nSPhVub5Qg2Rw,6,30,24,12,7,3,2,1,5,4,3,2,1,0
UC91hDMARTS2NMQKaOj-zThw,6,30,26,12,7,3,2,1,4,4,3,2,0,0
UC9G7V6-HU_Cg7-yWLO1rH6w,3,17,18,13,10,4,2,2,9,9,6,5,2,1
UC9JHAUAg66CFme5r6J9Sldg,8,30,22,10,6,3,2,2,6,5,3,2,1,0
UC9SxIMTbO5pf97hCV0Ta1PQ,8,31,22,10,6,3,1,2,6,5,3,2,1,0
UCA1MVioFnBn_bqS2ilm_xxQ,6,25,21,14,10,4,2,2,6,4,3,2,1,0
UCA5CvI96Q7XtiRIxmajRzWw,3,20,25,12,9,4,2,1,7,8,4,3,1,1
UCa8kktUkK9JWZQoudZ_o5pg,3,17,19,15,12,6,3,1,6,6,5,4,2,1
UCANG9nPHHhmyOtMVk0bWgaA,4,33,25,9,7,2,1,1,7,5,2,2,0,0
UCAnoDg9pnvrNalHRTZrnELw,6,31,24,9,5,2,1,2,8,6,3,2,1,0
UCAUbDYDwV34yk6pYiZg_CzA,4,30,28,11,8,3,1,1,5,5,2,1,0,0
UCaxyM3FMUgdIcP0iPZl0FGg,7,33,22,7,3,1,0,2,9,9,3,2,1,0
UCB0iI4S727iXExTQvEVG4UQ,6,30,27,9,5,2,1,1,6,6,4,2,1,1
UCB44fSGXvnBP6CVp10CenPg,10,35,21,8,4,2,1,2,6,5,3,2,1,0
UCb6uSKrF8frmRewPQLkHXQA,4,21,20,14,11,5,2,1,6,6,4,3,2,1
UCBNKPs6EEIPIjQ8gWUiCuNw,6,31,21,10,7,3,2,2,8,4,3,2,1,0
UCbvd0SRuTGwhsfbfNvGuIeg,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UCBwNdVwj_736A_qCyE0mUZA,8,30,24,11,6,2,0,2,6,5,3,2,1,0
UCc_vOO8-XNMT8KmIVTEbt5g,6,34,23,7,3,1,0,2,9,7,4,3,1,0
UCc3fe_8F9fclqUpw-rvqY-A,4,20,30,18,14,5,2,0,2,2,2,1,0,0
UCc3lx0-oWbbNkr7owjeQYrg,12,39,18,8,4,2,1,2,7,4,2,1,0,0
UCcdFj2n6_nWtPi2ELkcaQ0w,8,31,21,10,7,3,2,2,6,4,3,2,1,0
UCceUWPM7SkvOmJ3bs9ZYJCw,5,29,22,9,4,1,1,2,11,8,3,3,2,0
UCChdHmdkgTpk0iyuODYxJIw,6,37,26,7,3,1,1,2,6,6,3,1,0,1
UCcNYkzLMSkSiYaiAYjUNzRg,5,33,24,7,4,1,1,2,9,7,4,2,1,0
UCCZ-gBdN59pF39tbm16xvdQ,4,17,16,12,10,6,3,2,8,8,6,5,2,1
UCD7JGm-uaXpg8Oee5cSEaXw,5,31,28,12,7,3,2,1,4,4,2,1,0,0
UCDaYQyEp5BEbSo_gGUlFRaw,6,36,26,9,4,1,0,2,5,5,3,2,1,0
UCDCvlVx1noYrb0rNN9N6Yqg,3,26,24,10,7,2,1,1,9,9,4,3,1,0
UCDOG3XSt0v9JZ91bs7pBXlQ,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCdw0gUzVPhyZFRVeuzy_AEg,4,12,12,12,12,6,4,1,8,8,8,8,4,1
UCE7q5DzYcRYWObUNIpdO70A,4,35,20,8,3,1,0,2,10,8,4,3,2,0
UCeAXQIrm3Hw2xFDEuc2ccNQ,4,22,25,15,11,5,3,1,4,4,3,2,1,0
UCeB9L97iG06KNi6qeydbqPA,8,38,25,9,5,2,1,1,4,4,2,1,0,0
UCecX8ciH1IU7YY9_DJx3u2A,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCEee-1fofuY5CxsqucKcI4w,6,35,25,9,5,2,1,1,5,5,3,2,1,0
UCEK4qLAKncRumkuqfWUbMgQ,8,35,19,8,3,1,1,1,5,8,5,4,1,0
UCem0s_50gLmV91r_xMs3b6Q,8,38,26,8,4,2,1,1,4,4,2,1,1,0
UCeOC_1yOLoTBxmWRuKKfMCg,4,22,26,15,10,5,2,1,4,4,3,2,1,1
UCEwi6-cWDXpNNwM2T1a49RA,2,10,12,9,8,3,2,2,12,14,11,9,4,2
UCEZVKV0mCLuR83k7A9NyINg,6,30,26,12,7,3,2,1,4,4,3,2,0,0
UCF1u_9HKcFx36j8x_rNypKA,2,12,15,9,8,6,2,1,11,14,8,6,4,2
UCFC3gwNjb6sZ1b3E-B5Dm5w,6,25,18,12,9,4,2,2,8,5,4,3,1,1
UCFjSq5s9I4qcF5i_RNG-09A,3,20,26,14,10,4,2,1,5,6,4,3,1,1
UCFLlUm-tllKGbU_DKg-u5lA,6,31,25,8,4,2,1,2,9,6,3,2,1,0
UCfM7HC0wkS_cWVIcgpy2XPA,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UCFQqnvzajn7eDCbyE1qWgfg,4,41,28,10,4,1,1,0,3,4,2,1,0,0
UCFsSyiKOtZD7YNt8uXHRlzg,5,30,24,12,7,3,2,1,6,4,3,2,1,0
UCg-NcBf-4qKc3D3xFMS2Rng,5,31,24,7,4,1,0,2,10,9,3,3,2,0
UCg0yPGUXMPsmjldrfQ1lDkQ,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UCg7GWV9e0dOVp8EmOY34VoQ,8,38,25,9,5,2,1,1,4,4,2,1,0,0
UCgizQwZXaywKvqShnXUKN-Q,8,34,24,8,4,1,0,1,6,6,3,2,1,0
UCgRElRhf8PWv95nqExiQXHA,5,31,26,10,5,2,1,1,6,6,4,2,1,0
UCgtgC3Q2UBytpJooOCq4DJg,6,34,26,9,4,2,1,1,6,5,3,2,1,0
UCGW59n1GYcL-Mc0zUoSzYpA,8,30,22,10,6,3,2,2,6,5,3,2,1,0
UCgwSxFAuVZyX0vgshNiFkeg,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UCH2mJnztSdNh8ADp2KmtUMQ,4,27,28,14,10,4,1,1,4,4,2,1,1,0
UCHBhkf8V4BfASufoJy18q2w,6,34,24,9,4,1,0,2,7,7,3,2,1,0
UChHcae6qoUV72jYtBwORM_Q,8,36,26,10,5,2,1,1,4,4,2,1,0,0
UCHjVs7Ak6WUiixtkKN-dE4g,6,31,24,14,8,4,2,1,4,3,2,1,0,0
UCHUkpUuH7O3U7eIx93tMUwA,6,32,25,8,4,2,1,1,6,9,3,2,1,1
UChYFqAotrtkrBLs1rHlHqDw,4,12,10,12,8,2,2,4,12,10,12,8,2,2
UCI52io2NXrmHjXpVB3sVbDg,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCi88xf8_ZNb8Ir9CriltGwg,12,37,21,8,4,2,1,2,6,4,2,1,0,0
UCia-eYrwquzWdTZsrpTrOyA,6,31,27,12,7,3,2,1,4,4,2,1,0,0
UCiAzDHGJTIjlXZZKj9aErWw,5,30,22,7,4,1,0,2,11,7,4,3,2,0
UCIDhFdxhNYx8mfpjxEXH_8w,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCigdynJBb_8ZofZ3JDhcSZA,4,34,24,6,3,1,0,2,8,7,4,2,2,0
UCj83T5taUG2jr2h0aPSPA3g,6,35,25,9,4,2,1,1,6,5,3,2,1,0
UCJC3eND1vV_MR_UJB7-E9LQ,6,37,25,8,4,1,1,1,6,6,3,1,0,1
UCjdrWTIiLMQmcePCuaAGICw,3,15,19,10,8,4,2,2,10,12,7,5,2,1
UCJf_CZp5YjzW4GM6G2uZC6w,8,31,22,11,6,2,1,2,6,5,3,2,1,0
UCjfKJKrYBEMEm7s0BHWXfbQ,6,35,25,9,5,2,1,1,5,5,3,2,1,0
UCjrTg7jI1dyzaFSyie8tIBw,8,36,27,8,3,1,0,1,5,5,2,1,0,1
UCjuutr3LdTfOtqy_qbjhM_w,9,38,26,8,4,1,1,1,5,4,2,1,0,0
UCjXaxDHFQkHuzRPTlShKU5w,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCK_SS-VZj0tQORGbdDnel8A,6,35,26,11,6,2,1,1,5,4,2,1,0,0
UCk3JICNGKfSl54qH3Pt4WJg,5,35,26,9,4,2,1,1,6,5,3,2,1,0
UCkthQXGzGcLw5oW2KWTM4dg,6,34,26,9,4,2,1,1,6,5,3,2,1,0
UCkTMRMhQrixiBmJpvAKyvIg,8,34,22,8,4,2,1,2,8,5,3,2,1,0
UCKxsnH8o2fymQDymR0-5MNw,6,31,29,8,4,1,0,2,6,7,4,1,0,1
UCKXwn02pIft9_e8Xuy71JqQ,4,24,26,12,8,3,2,1,6,6,4,3,1,0
UCKycl5tLdiOz6CMoRMpXNjA,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UCl02wybQkXfQfN9LGXLvm0A,7,34,27,8,3,1,0,1,5,7,3,1,0,1
UCl6ahKXN7BCuJdc2sRBLZog,8,37,25,9,5,2,1,1,5,4,2,1,0,0
UCldmBhq4zxQoVpIAPy5GtcQ,5,28,25,13,9,4,2,1,4,4,2,2,1,0
UClJNgnMWzvEzJuLcpH7m4vQ,7,36,21,7,2,1,0,3,10,7,3,2,0,0
UClsaLJyAdDlXjyAizmKt-1Q,8,30,22,10,6,3,2,2,6,5,3,2,1,0
UCLSlnGCGspUWbbiUbdFvGcA,3,20,23,13,9,4,2,1,7,7,5,3,2,1
UCLteLpENSd0k5sNqpCUx6Mw,8,30,22,11,6,2,1,2,7,5,3,2,1,0
UCLuc7ZZiSE_nCUB7yW6l08g,8,37,24,9,4,2,1,1,6,5,2,1,0,0
UCm3aFTKTRsClNaN0rsYmQYg,5,30,30,10,5,2,1,1,6,6,3,1,0,0
UCmEzs9vjFOlDyy6-T9bxR7A,9,38,26,8,4,2,1,1,4,4,2,1,0,0
UCmfYQLSbkiEKkk89ylUg08w,6,31,24,9,5,2,1,2,8,6,3,2,1,0
UCmtMIZkVmCFr524prHxfYvQ,6,25,18,12,9,4,2,2,8,5,4,3,1,1
UCmw4u8rcpv-GsnAEYyBxqvg,8,34,22,8,4,2,1,2,8,5,3,2,1,0
UCn_b_mrrhtMGhiLZLCzF7rQ,6,29,22,10,6,2,1,2,8,6,4,3,1,0
UCn_fZLXut_Tj9-QihG_9l0g,6,24,18,11,8,2,1,2,10,8,5,3,1,0
UCNAaF-fdMt3T3GPLWTM-2WA,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCnc6XAEYyMwKSD2-rfkjLow,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCNCLcMGvY5SYH3GPO82dfFQ,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCnCwejqxDUfefbctqTy9yXw,6,23,19,13,10,4,2,2,7,5,4,3,1,1
UCnFFOjljp1_sacTz7PfIIyg,7,28,25,6,2,1,0,3,13,8,4,2,1,0
UCnHpEWXz2Ehirkc3wuFfUfw,8,35,24,9,3,1,0,1,6,6,4,1,0,1
UCNKrDQQ9OLARlFVpHIi7nrQ,6,36,22,8,4,1,1,2,6,8,4,2,0,1
UCNT6x9YtnbAHl85FVTqMEPQ,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCNu8ssRlSFYPIfMS2m4ifyA,9,38,26,8,4,1,1,1,5,4,2,1,0,0
UCnvc1ZvOsXhMBroQ6x-ZusQ,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCnzkFzJ-j0BsBBQNgVjf8lw,6,35,25,10,6,3,2,1,5,4,2,1,0,0
UCO2fnz6O2z-VEkLn4jmLOTQ,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCOa4DCQ-Wiw2oZ-3XHW7X_w,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCoC-ZGuPCvJJrbcz9eMW8zw,3,16,18,12,10,4,2,2,8,10,7,5,2,1
UCOeG4ecxm8C6SfzouPz6ekA,4,22,24,14,9,4,2,1,6,6,4,3,1,0
UCOrOHFBWXwInC1-nycKzX-g,8,35,25,10,6,2,1,1,5,4,2,1,0,0
UCOTl-TvxLgIgr_XdAbO9LQQ,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCOXwa89dRl8iF9Z02-rZENw,6,30,25,11,7,3,2,1,5,5,3,2,0,0
UCOzxM1-t3e-TgoQp6nZGWsQ,6,30,24,14,9,4,2,1,4,3,2,1,0,0
UCp1LcaT4ZervirUK8ZyzVcg,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCp3FqH9y9X2wqGelph2hk9A,8,36,25,8,4,1,1,1,4,4,3,3,2,0
UCP7Xwtb3M9B-0OnteyX7INw,4,16,14,14,11,6,3,2,8,7,7,5,2,1
UCPbFt0ir9Yrp5lCzm-Ei7rw,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCPBKoXiypGqij4bNgW3_Giw,6,30,25,11,6,3,2,1,5,5,3,2,1,0
UCpeq48jOyzPxoqfeSwMZ2uA,8,36,26,10,5,2,1,1,4,4,2,1,0,0
UCPMw_1TUgWi7HyQXEqlO8PQ,5,31,23,8,4,1,0,2,10,8,3,3,2,0
UCpTLn-qOSJGw9KppbI2aTOQ,8,27,19,12,9,4,2,2,6,4,3,2,1,1
UCPTn1Zj0kCSzJG9VByCHhQQ,4,20,24,14,10,4,2,1,6,7,4,3,1,0
UCpzsJGBbjvioyBv6wLcxF5g,6,34,26,9,4,2,1,1,6,5,3,2,1,0
UCq8dWevtTXOrElZkaSptrvQ,6,36,27,10,5,2,1,1,5,4,2,1,0,0
UCq8mgQbOYoql9_ZkA1uUwtA,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UCqnlLQytrn75s_5gSQ0CUBQ,6,35,26,10,5,2,1,1,5,5,3,1,0,0
UCqQsQQvWQAwpzDJ4DH7K4tA,9,38,26,8,4,2,1,1,4,4,2,1,0,0
UCqxtyL5WX9bvnXdpcWA9yzw,9,38,26,8,4,2,1,1,4,4,2,1,0,0
UCr_QBNzvSm_a7mreIpTregw,4,31,26,8,5,1,1,2,8,7,4,3,2,0
UCR19aHW_92TAKGLoTH01Z7w,5,33,21,6,3,1,0,2,10,9,4,3,2,0
UCR8th9vv4cSnfoY-Gx5hnbA,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCrAVIK5iMpvtsa4S7TDpuzw,12,37,21,8,4,2,1,2,6,4,2,1,0,0
UCRH6Eng69qsXTlSoSzgzTkQ,8,30,22,10,6,3,2,2,6,5,3,2,1,0
UCrHxNpfoeqp1Zo2KFNH1y4A,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCRiIf6rt91BVfZVtURRXlOw,8,35,24,10,6,3,2,1,4,4,2,1,0,0
UCRjVc6uK7_cNOl7AZcLVO3w,8,38,26,9,5,2,1,1,4,3,2,1,0,0
UCrK-BInkhcGogiBoG682DEA,7,32,24,8,4,1,1,1,8,7,3,2,1,0
UCroqwppBRDTc47YdJVvUHGg,4,19,17,12,8,4,2,2,10,9,6,4,2,1
UCSDSUZEHygHRzqHiu7WlBGQ,4,23,25,14,9,4,2,1,6,6,3,2,1,0
UCSed5sg92x-Zx-ws5pvC4zw,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UCsG7wkYrV2wPMOQeuI7pG7A,4,14,14,14,12,4,2,2,8,8,8,6,2,2
UCsMKo0kS-Q-duhbE8nyaKbQ,5,30,26,11,6,2,1,1,6,6,3,2,1,0
UCSx-2fuyotB8WA8KytyhACg,8,31,24,10,5,2,1,2,6,5,3,2,1,0
UCSzTXeUBWhwgOSOuhfeC3xg,6,25,20,12,8,4,2,2,7,5,4,3,1,1
UCT0hOMxD29g2B6BrK6QTIag,8,31,24,10,5,2,1,2,6,5,3,2,1,0
UCT1MM1P7-CTZHO-LZLNbH5A,8,37,25,9,5,2,1,1,5,4,2,1,0,0
UCTjwlF8Y8hxR85JPUoZv-6A,5,21,12,18,11,4,2,2,8,4,7,4,1,1
UCtmcJ2mtRTlVd_AfGu04RiA,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UCtyfbLrbFLiP73m_-PQ14Uw,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCU8fctGh4wlWESYMwlOYWxg,8,38,26,8,5,2,1,1,4,4,2,1,0,0
UCUD5_6rdyhEH0pQZBpbesbg,8,35,25,10,6,3,1,1,4,4,2,1,0,0
UCufv0w81xlnq0LgLKvCCMbQ,5,30,25,11,7,3,1,1,6,5,3,2,1,0
UCUqh8IuIbuh5fX8R5T33jHA,8,31,22,10,6,3,1,2,6,5,3,2,1,0
UCUrCIBJ3ScRAOLgPElscZqA,4,30,26,8,5,1,1,2,8,8,3,3,2,0
UCV3D6OehJPsejAvhz6bDYfA,6,32,28,7,3,1,1,1,7,7,3,2,0,1
UCV3wF47ew4mv1wLG5KGFyEQ,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCV6iLaH5FZ2a6pJsbAs6meg,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCvDcsqGznX3iHMlrGbTcpmA,4,17,12,16,11,5,3,2,8,6,8,5,2,1
UCvOA4iVyEXF_W-YkzAACtrA,6,35,25,10,6,3,2,1,5,4,2,1,0,0
UCvpD0KP2b7nVLbEAydjjNaQ,3,27,22,7,5,1,1,2,13,11,4,3,1,0
UCVuFiH2EgbOTLj3btj8on1Q,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UCW61wo97HWu_TmmJEOiflrw,6,38,18,7,4,1,0,1,7,6,3,5,3,0
UCW67yGQxNNMnLqRHyaTjygA,3,7,19,27,18,4,4,1,1,3,9,5,0,0
UCW6SwPWWAJ0asdYzoi1dU7A,4,18,16,16,10,3,1,2,9,7,7,5,1,1
UCWAGyolTIz5RjfDtY1JrOXg,5,27,16,8,6,4,2,2,7,8,5,6,3,1
UCwFNiYnTtrYuwO7YRWomatw,3,15,15,11,8,4,3,2,10,10,8,6,3,2
UCwpVshFuSuKsQOdtAp5Lmew,6,29,17,13,9,4,2,2,8,4,3,2,1,0
UCWTOQatW8G1HZtp1FfmlTdQ,6,31,24,12,8,4,2,1,5,4,2,1,0,0
UCX0RrboDxnG9jtmcessy6fw,8,35,22,9,4,2,1,2,6,5,3,2,1,0
UCX6EQB-J3U9Voh4kMmqf8aw,8,30,22,10,6,3,2,2,6,5,3,2,1,0
UCXabf0I5bq2SJMOKhzDK7Gg,8,30,22,10,6,3,2,2,6,5,3,2,1,0
UCxCjVE5fg-vD5E79pTRZaTg,5,30,24,12,7,3,2,1,6,4,3,2,1,0
UCXsm0VHVnhDuMqhMAVNSyGw,8,37,24,10,6,3,1,1,4,3,2,1,0,0
UCxZuHw9EflLBsgadrFlkcig,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCY-sTVmXRY2JXnVjm9QjYBw,8,37,25,9,5,2,1,1,5,4,2,1,0,0
UCY2YdDn7zXtRbNR0fJ9V_YQ,5,37,29,10,3,1,0,1,3,4,3,3,1,0
UCY7P6yP7AjwqNlS0CpMH3dg,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCyEND5Fs12dRsUsmjBy4ZbQ,7,32,19,7,4,1,0,2,8,8,3,6,3,0
UCyls5FepyOPvI-fNOELkkeQ,4,18,17,19,8,2,1,2,8,7,8,4,1,1
UCYR1dbylaSbrOO2hQ06IQbQ,5,30,25,12,7,3,2,1,5,4,3,2,1,0
UCyrHmxVp7O7nqnZzbMfa01g,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UCYuMEcmNpz03jmS9DSNJexw,8,35,21,8,4,2,1,2,8,5,3,2,1,0
UCYUUPZ6nD_OHpVfViJwRFDA,8,30,22,10,6,3,2,2,6,5,3,2,1,0
UCZ-qOijZTB-rZRFkv2sJppA,12,38,20,8,4,2,1,2,6,4,2,1,0,0
UCzB4SMiJegcyFlnFvosUVcg,4,22,25,14,11,5,3,1,4,5,3,2,1,0
UCZFKgRGh8IPGAp8IvUO_atg,6,31,27,12,7,3,2,1,4,4,2,1,0,0
UCZhNi5vF0GIDPPy399Pt5lw,8,37,25,9,5,2,1,1,5,4,2,1,0,0
UCZlTEEKh3ounqVfpf21WMeQ,5,32,23,9,3,1,1,1,8,7,5,3,1,1
UCZN7r_hINmDbN2v2JSaGuaQ,6,35,25,8,4,2,1,1,6,6,3,2,1,0
UCzUV_ldqQyp17-scwBANlsg,9,34,20,7,4,1,1,2,6,5,4,4,2,0
