branded_page_name,matched_brand_kr,brand_logo_id,match_rule,count,verdict
성분에디터,성분에디터,320,r0_exact,69,yes
hetras.official,헤트라스,71627,r1_decor,69,yes
리드볼트,리드볼트,129554,r0_exact,66,yes
Athe,아떼,47171,r0_exact,64,yes
마일드랩,마일드랩,99969,r0_exact,63,yes
루시아이,루시아이,166341,r0_exact,62,yes
세인트새틴,세인트새틴,35116,r0_exact,61,yes
링글 1:1 화상영어,링글,33041,r0_exact,60,yes
챌린저스,챌린저스,802,r0_exact,59,yes
Pronutrition.official,프로뉴트리션,153132,r1_decor,57,yes
액트플러스,액트플러스,35312,r0_exact,56,yes
불스원몰,불스원,763,r1_decor,55,yes
디퍼슈,디퍼슈,156118,r0_exact,54,yes
와이케이스,와이케이스,91863,r0_exact,54,yes
NIVEA,니베아,3360,r0_exact,53,yes
narka,나르카,155737,r0_exact,53,yes
디에이이펙트,디에이이펙트,164346,r0_exact,53,yes
Veimia.korea,베이미아,66475,r1_decor,52,yes
시그널플래너,시그널플래너,45970,r0_exact,52,yes
투에이엔,투에이엔,65230,r0_exact,52,yes
네스카페 돌체구스토,네스카페돌체구스토,4506,r0_exact,52,yes
메라블,메라블,159294,r0_exact,51,yes
달바,달바,46,r0_exact,51,yes
큐모모,큐모모,34177,r0_exact,51,yes
잇더핏,델리스푼,4394,r0_exact,50,yes
블랑코_official,블랑코,155480,r1_decor,50,yes
Oddtype,오드타입,157415,r0_exact,50,yes
DJI,디제이아이,645,r0_exact,50,yes
말해보카,말해보카,34180,r0_exact,49,yes
FILA Korea,휠라,693,r1_decor,48,yes
GC 녹십자웰빙,GC녹십자웰빙,154585,r0_exact,47,yes
Shaishaishai.official,샤이샤이샤이,4009,r1_decor,47,yes
주트립,주트립,148305,r0_exact,46,yes
더샘,더샘,31124,r0_exact,45,yes
더클래스코리아,더클래스,109448,r1_decor,45,yes
Vivaia.kr,비바이아,163804,r1_decor,43,yes
비즈하우스,비즈하우스,96978,r0_exact,42,yes
Wellage Global,웰라쥬,3787,r1_decor,41,yes
에이블리,에이블리,65173,r0_exact,41,yes
Mamaforest,마마포레스트,47228,r0_exact,41,yes
Mayton,메이튼,46134,r0_exact,41,yes
오드로이,오드로이,93509,r0_exact,41,yes
Dermafirm kr,더마펌,36160,r1_decor,41,yes
디어랩스,디어랩스,131590,r0_exact,40,yes
몽디에스,몽디에스,4355,r0_exact,40,yes
pongdang_official,퐁당,166347,r1_decor,40,yes
뉴트리원,뉴트리원,3861,r0_exact,39,yes
인스탁스,한국후지필름,159202,r0_exact,39,yes
슬룸,슬룸,106743,r0_exact,39,yes
Touchinsol.official,터치인솔,150307,r1_decor,39,yes
Poseganch,포즈간츠,66426,r0_exact,38,yes
바이오컴,바이오컴,116348,r0_exact,38,yes
glow,글로우,165180,r0_exact,38,review
쁘띠엘린,쁘띠엘린,66279,r0_exact,38,yes
엔카,엔카,3911,r0_exact,38,yes
Giverny,지베르니,3998,r0_exact,37,yes
보다나,보다나,4308,r0_exact,37,yes
무신사,무신사,17,r0_exact,36,yes
Today with,투데이위드,99388,r0_exact,36,yes
그레인온,그레인온,109772,r0_exact,36,yes
엘라비아,엘라비아,131357,r0_exact,35,yes
Origincare,오리진케어,166349,r0_exact,35,yes
CJ웰케어,CJ웰케어,3809,r0_exact,32,yes
탈잉,탈잉,146107,r0_exact,32,yes
아이레놀,아이레놀,34118,r0_exact,32,yes
Duskrack,더스크랙,110654,r0_exact,31,yes
바이오힐보,바이오힐보,98,r0_exact,31,yes
Parity_official,패리티,152952,r1_decor,31,yes
바디씨,바디씨,152760,r0_exact,31,yes
3WAAU,쓰리와우,83386,r0_exact,31,yes
AestheFic,에스테픽,166027,r0_exact,31,yes
위글위글,위글위글,81033,r0_exact,31,yes
펫퍼민트,펫퍼민트,50275,r0_exact,29,yes
마켓비,마켓비,4572,r0_exact,29,yes
Pettena Korea,펫테나,166000,r1_decor,29,yes
Whipped_official,휩드,62124,r1_decor,29,yes
베노프,베노프,118962,r0_exact,29,yes
대라,대라,165476,r0_exact,29,yes
EGARDEN,에가든,154396,r0_exact,29,yes
아이소이,아이소이,28296,r0_exact,29,yes
프리플로우,프리플로우,157385,r0_exact,28,yes
ANAZE,어네이즈,165259,r0_exact,28,yes
씨스터앤,씨스터앤,460,r0_exact,28,yes
로밍도깨비,로밍도깨비,57687,r0_exact,28,yes
Goodtotes korea,굿토드즈,166256,r1_decor,28,yes
닥터뉴토,닥터뉴토,142957,r0_exact,28,yes
마이펫닥터,마이펫닥터,50319,r0_exact,27,yes
Collins,콜린스,165463,r0_exact,27,yes
콘치웨어,콘치웨어,158739,r0_exact,27,yes
Epais,에이페,150809,r0_exact,27,yes
EOA,이오에이,157429,r0_exact,27,yes
FCMM,FCMM,28383,r0_exact,26,yes
스노우투플러스,스노우투플러스,148651,r0_exact,26,yes
디브리오,디브리오,97254,r0_exact,26,yes
Bodyand_mall,바디앤,164352,r1_decor,26,yes
Laka,라카,85584,r0_exact,25,yes
브링그린,브링그린,3361,r0_exact,25,yes
deepeershop,디피어,154683,r1_decor,25,yes
MLB KIDS,MLB 키즈,85178,r0_exact,25,yes
Scentlier ,센틀리에,142970,r0_exact,25,yes
헤어플러스,헤어플러스,108383,r0_exact,25,yes
더미식,더미식,15,r0_exact,24,yes
Not Only For Today,낫온리포투데이,90528,r0_exact,24,yes
바바더닷컴,바바더닷컴,147760,r0_exact,23,yes
프리메라,프리메라,4339,r0_exact,23,yes
드시모네,또박케어,107084,r0_exact,23,review
MLBkorea,MLB Korea,53854,r0_exact,23,yes
뮤드,뮤드,47248,r0_exact,23,yes
plalink,플라링크,172966,r0_exact,22,yes
Plaud.kr,플라우드,163745,r1_decor,22,yes
젝시믹스,젝시믹스,49154,r0_exact,22,yes
오늘의집,오늘의집,28367,r0_exact,22,yes
베이비 브레짜,베이비브레짜,64488,r0_exact,22,yes
OFRA Cosmetics Korea,오프라코스메틱,154808,r0_exact,22,yes
TOUN28,톤28,66558,r0_exact,22,yes
트리폴라 코리아 ,트리폴라,341,r1_decor,22,yes
Barcofficial,바크,62142,r1_decor,22,yes
Biorga,바이오가,85888,r0_exact,22,yes
프로젝트21,프로젝트21,19697,r0_exact,22,yes
Lg생활건강,LG생활건강,112,r0_exact,21,yes
Glow.M,글로우엠,155708,r0_exact,21,yes
Kokozi,코코지하우스,875,r0_exact,21,yes
Meliens,멜리언스,154456,r0_exact,21,yes
반코르,반코르,4608,r0_exact,21,yes
LIBER,리베르,91868,r0_exact,21,yes
이즈앤트리,이즈앤트리,959,r0_exact,20,yes
무르,무르,135821,r0_exact,20,yes
Teabless_official,티블레스,45809,r1_decor,20,yes
스크럽대디,스크럽 대디,168603,r0_exact,20,yes
라이브오랄스,라이브오랄스,609,r0_exact,20,yes
Slown,슬로운,157436,r0_exact,20,yes
모두닥,모두닥,154147,r0_exact,20,yes
웰247,웰247,160114,r0_exact,20,yes
페이퍼백,페이퍼백,4067,r0_exact,20,yes
Gripit,그리핏,156059,r0_exact,19,yes
라보페,라보페,133,r0_exact,19,yes
Lavoir,라브아,94649,r0_exact,19,yes
렌트리,렌트리,162166,r0_exact,19,yes
팸퍼스,팸퍼스,143,r0_exact,19,yes
더랩바이블랑두,더랩바이블랑두,3193,r0_exact,18,yes
LeMouton,르무통,4352,r0_exact,18,yes
엠디스픽,엠디스픽,165434,r0_exact,18,yes
Entropy makeup,엔트로피 메이크업,152879,r0_exact,18,yes
Dermela,더멜라,163805,r0_exact,18,yes
Bouquet Garni,부케가르니,119797,r0_exact,18,yes
23.65,23.65,156106,r0_exact,17,yes
더블플래그,더블플래그,152980,r0_exact,17,yes
Stand Oil,스탠드오일,4034,r0_exact,17,yes
Prayforit,프레이포잇,154453,r0_exact,17,yes
그루밍랩,그루밍랩,35390,r0_exact,17,yes
뽕브라몰,뽕브라몰,117323,r0_exact,17,yes
Secondmono,세컨모놀로그,166058,r0_exact,17,yes
넛세린,넛세린,53826,r0_exact,17,yes
베스트슬립.오피셜,베스트슬립,52829,r1_decor,16,yes
오즈코딩스쿨,오즈코딩스쿨,154703,r0_exact,16,yes
Casaverdi,카사베르디,165260,r0_exact,16,yes
더니트컴퍼니,더니트컴퍼니,45842,r0_exact,16,yes
서포트미,서포트미,165287,r0_exact,16,yes
Housweet,하우스윗,97319,r0_exact,16,yes
Fallcent,폴센트,129061,r0_exact,16,yes
뉴트리몰,에버콜라겐,50274,r1_decor,16,yes
Layerlab,레이어랩,155663,r0_exact,16,yes
오가본,오가본,37252,r0_exact,15,yes
위드렌즈,위드렌즈,150305,r0_exact,15,yes
BYNIQ,바이닉,165371,r0_exact,15,yes
모두의연구소,모두의연구소,82824,r0_exact,15,yes
Cafe24,카페24,130961,r0_exact,15,yes
CaratMe,캐럿미,165137,r0_exact,15,yes
닥터블릿,닥터블릿,19852,r0_exact,15,yes
Julie's Choice,줄리스초이스,4314,r0_exact,15,yes
하림펫푸드,하림펫푸드,28356,r0_exact,15,yes
한고연몰,한고연몰,153480,r0_exact,15,yes
식물나라,식물나라,153544,r0_exact,15,yes
Mixxo,미쏘,3114,r0_exact,15,yes
달리프,달리프,3983,r0_exact,14,yes
데카트론코리아,데카트론,33254,r1_decor,14,yes
데이지크,데이지크,83,r0_exact,14,yes
제이숲,제이숲,66588,r0_exact,14,yes
밸런스온,밸런스온,91642,r0_exact,14,yes
Danceonthefloor,댄스온더플로어,165362,r0_exact,14,yes
슬로우허밍,슬로우허밍,46178,r0_exact,14,yes
Casetify KR,케이스티파이,89,r1_decor,14,yes
gundamdak,건담닭,164121,r0_exact,14,yes
리덴스,리덴스,110604,r0_exact,14,yes
리쥬란 코스메틱,리쥬란코스메틱,489,r0_exact,13,yes
콰티,콰티,118961,r0_exact,13,yes
오브베이스,오브베이스,65210,r0_exact,13,yes
다이어트학교,다이어트학교,57702,r0_exact,13,yes
Kangol Korea,캉골,20051,r0_exact,13,yes
슬림9,슬림9,131582,r0_exact,13,yes
MJade,엠제이드,31135,r0_exact,12,yes
휘게 언더웨어,휘게언더웨어,150883,r0_exact,12,yes
타입넘버,타입넘버,3783,r0_exact,12,yes
WAUG,와그,808,r0_exact,12,yes
테라로직,테라로직,56212,r0_exact,12,yes
InBody,인바디,64911,r0_exact,12,yes
NS_official,NS,96761,r1_decor,12,yes
912_Official,912,166050,r1_decor,12,yes
해서린,해서린,42053,r0_exact,12,yes
PoseGanch,포즈간츠,66426,r0_exact,12,yes
Tage,테이지,28595,r0_exact,12,yes
플라이코지,플라이코지,154482,r0_exact,12,yes
온리추얼,온리추얼,165256,r0_exact,12,yes
WAYDN,웨이든,153794,r0_exact,12,yes
Hang Ten Korea,행텐,36081,r1_decor,12,yes
청미정,청미정,85942,r0_exact,12,yes
Sione,시오네,173907,r0_exact,11,yes
Genierr,제니에,171886,r0_exact,11,yes
다슈,다슈,225,r0_exact,11,yes
라우드소싱,라우드소싱,110687,r0_exact,11,yes
Xiaomi Korea,샤오미,913,r1_decor,11,yes
Wechik,위칙,154421,r0_exact,11,yes
오렌즈,오렌즈,128895,r0_exact,11,yes
꼼지락,꼼지락,97113,r0_exact,11,yes
포렌코즈,포렌코즈,36362,r0_exact,11,yes
쉐이크베이비,쉐이크베이비,97059,r0_exact,11,yes
AMELI,아멜리,4363,r0_exact,11,yes
슬립퍼,슬립퍼,83162,r0_exact,11,yes
Pranarom Korea,프라나롬,34195,r1_decor,11,yes
MIMZ,밈즈,155062,r0_exact,11,yes
JMW,JMW,3200,r0_exact,11,yes
danp.kr,댄프,165477,r1_decor,11,yes
미리캔버스,미리캔버스,3790,r0_exact,10,yes
프롬비,프롬비,99690,r0_exact,10,yes
비상교육 온리원 중등,비상교육 온리원 중등,60930,r0_exact,10,yes
데코뷰,데코뷰,65225,r0_exact,10,yes
커먼유니크,커먼유니크,147740,r0_exact,10,yes
Demar3,디마르3,117381,r0_exact,10,yes
글램피크,글램피크,78429,r0_exact,10,yes
LIZDA,리즈다,4530,r0_exact,10,yes
핑거수트,핑거수트,97116,r0_exact,10,yes
Lactiv.official,락티브,33213,r1_decor,9,yes
Masmarulez,마스마룰즈,165163,r0_exact,9,yes
마플,마플,53430,r0_exact,9,yes
엔젤앤비,엔젤앤비,163351,r0_exact,9,yes
에블린,에블린,62119,r0_exact,9,yes
하나투어,하나투어,3931,r0_exact,9,yes
올리브영,올리브영,30,r0_exact,9,yes
밀레니얼머니스쿨,밀레니얼머니스쿨 ,57619,r0_exact,9,yes
지티스,지티스,157413,r0_exact,9,yes
medipuppy,메디퍼피,166150,r0_exact,9,yes
한끼통살,한끼통살,119672,r0_exact,9,yes
Pyunkang yul,편강율,371,r0_exact,9,yes
엠제이드,엠제이드,31135,r0_exact,9,yes
조성아뷰티,조성아뷰티,753,r0_exact,9,yes
청정원,청정원,216,r0_exact,9,yes
Lukt,룩트,146247,r0_exact,8,yes
Sergio Tacchini,세르지오 타키니,75523,r0_exact,8,yes
스타라이크,스타라이크,162477,r0_exact,8,yes
Beplain_official,비플레인,168,r1_decor,8,yes
오하입,오하입,168585,r0_exact,8,yes
제이엘브,제이엘브,154857,r0_exact,8,yes
Klook,클룩,40978,r0_exact,8,yes
Ohscent,오센트,99692,r0_exact,8,yes
Rbfy,리바이포유,3904,r0_exact,8,yes
Re:NK,리엔케이,66608,r0_exact,8,yes
Basics,베이직스,55790,r0_exact,8,yes
패스트캠퍼스,패스트캠퍼스,4467,r0_exact,8,yes
스피킹맥스,스피킹맥스,3743,r0_exact,8,yes
Apothe,아포테,165152,r0_exact,8,yes
그라스,불스원,763,r0_exact,8,yes
꼬기다,꼬기다,58810,r0_exact,8,yes
유르테,유르테,166286,r0_exact,8,yes
오아,오아,149,r0_exact,8,yes
널담,널담,155156,r0_exact,8,yes
Thehistoryofwhoo.official,더후,108384,r1_decor,8,yes
블루그레인,블루그레인,118293,r0_exact,8,yes
Babitalk,바비톡,28388,r0_exact,8,yes
Sillymann,실리만,34094,r0_exact,7,yes
올리,올리,82914,r0_exact,7,yes
HANE,하네,165428,r0_exact,7,yes
Altenbach,알텐바흐,50281,r0_exact,7,yes
Saily,세일리,157428,r0_exact,7,yes
한스킨,한스킨,97109,r0_exact,7,yes
휴닉,휴닉,153890,r0_exact,7,yes
OpenAI,OpenAI,163729,r0_exact,7,yes
Meitu,메이투,152771,r0_exact,7,yes
네이버페이,네이버페이,56736,r0_exact,7,yes
LG프라엘,LG프라엘,162804,r0_exact,7,yes
라돌프,라돌프,109410,r0_exact,7,yes
디어오늘,디어오늘,166157,r0_exact,7,yes
모델로화장품,모델로화장품,118952,r0_exact,7,yes
블레스문,블레스문,41762,r0_exact,7,yes
mongdol.official,몽돌,53868,r1_decor,7,yes
포켓샐러드,포켓샐러드,156117,r0_exact,7,yes
제너럴아이디어,제너럴아이디어,76763,r0_exact,7,yes
Entre Rêves,앙트레브,148613,r0_exact,7,yes
셀로라바이 코리아,셀로라바이,155061,r1_decor,7,yes
휴그랩,휴그랩,97106,r0_exact,7,yes
볼빅,볼빅,118143,r0_exact,7,yes
Another face,어나더페이스,155547,r0_exact,7,yes
센트룸,센트룸,3959,r0_exact,6,yes
스컬피그,스컬피그,40990,r0_exact,6,yes
나노레시피,나노레시피,72338,r0_exact,6,yes
Alternativestereo,얼터너티브스테레오,33232,r0_exact,6,yes
Gitden,깃든,164342,r0_exact,6,yes
까사미아,까사미아,545,r0_exact,6,yes
온그리디언츠,온그리디언츠,66614,r0_exact,6,yes
한성컴퓨터,한성컴퓨터,34210,r0_exact,6,yes
파파레서피,파파레서피,162,r0_exact,6,yes
PODL,포들,165252,r0_exact,6,yes
리얼클래스,리얼클래스,4482,r0_exact,6,yes
엘리하이,엘리하이,486,r0_exact,6,yes
슬라운드,슬라운드,19471,r0_exact,6,yes
내집스캔,내집스캔,34146,r0_exact,6,yes
달심,달심,69833,r0_exact,6,yes
유심사,유심사,69796,r0_exact,6,yes
Hotels.com,호텔스닷컴,61689,r0_exact,6,yes
키즈텐,키즈텐,118540,r0_exact,6,yes
티르티르,티르티르,64509,r0_exact,6,yes
자연누리,자연누리,153588,r0_exact,6,yes
닥터린,닥터린,117476,r0_exact,6,yes
로니엘,로니엘,144067,r0_exact,6,yes
누잠,누잠,56266,r0_exact,6,yes
렌즈미,렌즈미,4012,r0_exact,6,yes
ClearDea korea,클리어디어,153449,r1_decor,6,yes
푸드올로지,푸드올로지,3703,r0_exact,6,yes
스파오 키즈,스파오,4399,r1_decor,6,yes
Insta360,인스타360,129,r0_exact,5,yes
파티온,파티온,3733,r0_exact,5,yes
미니학습지,미니학습지,129892,r0_exact,5,yes
동구밭,동구밭,85900,r0_exact,5,yes
종근당건강,씨케이디게런티드,354,r0_exact,5,yes
Acwell,아크웰,4387,r0_exact,5,yes
타가,타가,116349,r0_exact,5,yes
감탄브라,감탄브라,56270,r0_exact,5,yes
트라히어,트라히어,165975,r0_exact,5,yes
Beigic,베이지크,4545,r0_exact,5,yes
모햇,모햇,134505,r0_exact,5,yes
Shezhome,쉬즈홈,60489,r0_exact,5,yes
CAELA,카엘라,146333,r0_exact,5,yes
아비튜드,아비튜드,166293,r0_exact,5,yes
ILCORSO,일꼬르소,3702,r0_exact,5,yes
정글몬스터,정글몬스터,49772,r0_exact,5,yes
Meowtimes,미우타임즈,130582,r0_exact,5,yes
놈캐리어,놈캐리어,165473,r0_exact,5,yes
healthyplace,헬시플레이스,108003,r0_exact,5,yes
윙크학습,윙크학습,28273,r0_exact,5,yes
플레인팟,플레인팟,146517,r0_exact,5,yes
바비톡,바비톡,28388,r0_exact,5,yes
MyRealTrip,마이리얼트립,285,r0_exact,5,yes
dr.piel_official,닥터피엘,69807,r1_decor,5,yes
GREEK DAY,그릭데이,65224,r0_exact,5,yes
벤튼,벤튼,240,r0_exact,5,yes
VIPKID 코리아,브이아이피키드,166153,r1_decor,5,yes
Ma Journée,마조네,99251,r0_exact,5,yes
Club Med,클럽메드,42010,r0_exact,5,yes
Ourskin,아워스킨,166311,r0_exact,5,yes
여리한다이어트,여리한다이어트,45108,r0_exact,5,yes
비브리브,비브리브,4595,r0_exact,4,yes
토스,토스,57960,r0_exact,4,yes
FitPet,핏펫,154268,r0_exact,4,yes
가벼운 학습지,가벼운학습지,4411,r0_exact,4,yes
Hassoul,해즈소울,129143,r0_exact,4,yes
아토세이프,아토세이프,165170,r0_exact,4,yes
수니홈,수니홈,99994,r0_exact,4,yes
ROLLY,롤리,165322,r0_exact,4,yes
LFmall,LF몰,74263,r0_exact,4,yes
Bodyfine,바디파인,165318,r0_exact,4,yes
영라뉴,영라뉴,131095,r0_exact,4,yes
Wakemake,웨이크메이크,103,r0_exact,4,yes
아임얼라이브 콤부차,아임얼라이브 콤부차,47026,r0_exact,4,yes
온작,온작,155529,r0_exact,4,yes
아르베,아르베,153508,r0_exact,4,yes
누비지오,누비지오,119812,r0_exact,4,yes
델링그,델링그,66420,r0_exact,4,yes
닥터아돌,닥터아돌,34185,r0_exact,4,yes
코이,코이,66628,r0_exact,4,yes
마인드카페,마인드카페,69801,r0_exact,4,yes
마틸라,마틸라,119811,r0_exact,4,yes
몽뤼르,몽뤼르,154755,r0_exact,4,yes
Undage,언데이지,165191,r0_exact,4,yes
LG전자,LG전자,11,r0_exact,4,yes
직방,직방,120063,r0_exact,4,yes
누디크,누디크,65204,r0_exact,4,yes
리빙크리에이터,리빙크리에이터,146478,r0_exact,4,yes
Paula's Choice,폴라초이스코리아,66560,r0_exact,4,yes
Spotify Korea,스포티파이,4600,r1_decor,4,yes
현대카드,현대카드,570,r0_exact,4,yes
삼대오백,뉴트리커먼,3844,r0_exact,4,review
CHANEL,샤넬,496,r0_exact,4,yes
Yunjac,연작,53445,r0_exact,4,yes
르마하,르마하,153815,r0_exact,4,yes
Gynocure.kr,지노큐어,164304,r1_decor,4,yes
스키니랩,스키니랩,42070,r0_exact,4,yes
Pozenic,포즈닉,165440,r0_exact,4,yes
Shopcider_kr,샵사이다,4312,r1_decor,4,yes
Studio17,스튜디오17,50291,r0_exact,4,yes
포뷰트,포뷰트,27974,r0_exact,4,yes
Heveblue,헤브블루,110646,r0_exact,4,yes
Myprotein,마이프로틴,252,r0_exact,4,yes
윌라,윌라,86,r0_exact,4,yes
PRIZM,프리즘,34099,r0_exact,4,yes
포들,포들,165252,r0_exact,4,yes
TFIT,티핏,164911,r0_exact,4,yes
파이브바이브,파이브바이브,154600,r0_exact,4,yes
헬로우봇,헬로우봇,74260,r0_exact,4,yes
MUJI Korea,무인양품 (무지),57661,r0_exact,4,yes
스마이즈,LNC 커뮤니티,106735,r0_exact,4,review
HDEX,에이치덱스,67,r0_exact,4,yes
트래블기어,트래블기어,110679,r0_exact,4,yes
Fillimilli,필리밀리,246,r0_exact,4,yes
이아이오,이아이오,129140,r0_exact,4,yes
엘리하이 키즈,엘리하이,486,r1_decor,4,yes
BIODERMA,바이오더마,4056,r0_exact,3,yes
Voltium,볼티움,165375,r0_exact,3,yes
슬립앤슬립,슬립앤슬립,45347,r0_exact,3,yes
Coiris,코이리스,166224,r0_exact,3,yes
ANF KOREA,ANF,47058,r1_decor,3,yes
맥스클리닉,맥스클리닉,76779,r0_exact,3,yes
고몽드,고몽드,55376,r0_exact,3,yes
Muzigae Mansion,무지개맨션,4356,r0_exact,3,yes
MOZI,모지,153585,r0_exact,3,yes
닥터하우쉬카,닥터하우쉬카,65215,r0_exact,3,yes
Moroccanoil,Moroccanoil,56633,r0_exact,3,yes
모던하우스,모던하우스,62265,r0_exact,3,yes
뮬라웨어,뮬라웨어,4535,r0_exact,3,yes
핏펫,핏펫,154268,r0_exact,3,yes
옆커폰,옆커폰,3140,r0_exact,3,yes
플로나,플로나,66577,r0_exact,3,yes
라이프스탠다드,라이프스탠다드,131072,r0_exact,3,yes
Filakids_official,휠라,693,r1_decor,3,yes
휴플러스,휴플러스,150840,r0_exact,3,yes
밀리의서재,밀리의 서재,78413,r0_exact,3,yes
WondershareKorea ,원더쉐어,157426,r1_decor,3,yes
Percendi,퍼센디,166336,r0_exact,3,yes
KANEI TEI,KANEITEI,130741,r0_exact,3,yes
더베네푸드,더베네푸드,154393,r0_exact,3,yes
Cleardea,클리어디어,153449,r0_exact,3,yes
케어웰,케어웰,155644,r0_exact,3,yes
비거너리,달바,46,r0_exact,3,review
SNP,Snp,66620,r0_exact,3,yes
루니엘,루니엘,173870,r0_exact,3,yes
그라운드플랜,그라운드플랜,108348,r0_exact,3,yes
이오시카,이오시카,64468,r0_exact,3,yes
Femmue,파뮤,66415,r0_exact,3,yes
Speak,스픽,351,r0_exact,3,yes
퓨어라벨,퓨어라벨,153171,r0_exact,3,yes
Easydew,이지듀,94700,r0_exact,3,yes
Satechi_Kr,사테치,110661,r1_decor,3,yes
87MM,87mm,45973,r0_exact,3,yes
JENNIFEROOM,제니퍼룸,103496,r0_exact,3,yes
Saint James Korea,세인트제임스,99374,r1_decor,3,yes
Dyson,다이슨,88,r0_exact,3,yes
Allrightgreen,올라잇그린,155155,r0_exact,3,yes
닥터오라클,닥터오라클,60630,r0_exact,3,yes
klipsch_kr_official,클립쉬,60905,r1_decor,3,yes
Aromatica,아로마티카,33220,r0_exact,3,yes
Think Way,씽크웨이,57704,r0_exact,3,yes
굿웨어몰,굿웨어몰,85249,r0_exact,3,yes
리딩게이트,리딩게이트,164350,r0_exact,3,yes
사이즈오브,사이즈오브,833,r0_exact,3,yes
컴포지션 스튜디오,컴포지션 스튜디오,97316,r0_exact,3,yes
ChatGPT,OpenAI,163729,r0_exact,3,yes
TISLO,티슬로,91881,r0_exact,3,yes
월터워커 시다스,월터워커시다스,57485,r0_exact,3,yes
나일로라,나일로라,156107,r0_exact,3,yes
Charde.official,샤르드,90237,r1_decor,3,yes
Tonymoly,토니모리,3174,r0_exact,3,yes
한국후지필름,한국후지필름,159202,r0_exact,3,yes
Beanpole,빈폴,477,r0_exact,3,yes
에이카랩스,에이카랩스,165381,r0_exact,3,yes
Camvil,캠빌,35239,r0_exact,3,yes
낫띵베럴,낫띵베럴,157047,r0_exact,3,yes
차란,차란,146522,r0_exact,3,yes
WHO LOVES ART,후러브스아트,154339,r0_exact,3,yes
안다르,안다르,54779,r0_exact,3,yes
김단단,김단단,164839,r0_exact,2,yes
쥬비스,쥬비스,34096,r0_exact,2,yes
바이오뉴트리온,바이오뉴트리온,129913,r0_exact,2,yes
Manus AI,마누스 AI,164423,r0_exact,2,yes
코에르,코에르,154933,r0_exact,2,yes
정리습관,정리습관,154762,r0_exact,2,yes
니드인,니드인,4509,r0_exact,2,yes
AIGLE KR,에이글,166275,r1_decor,2,yes
딜팩토리,딜팩토리,56277,r0_exact,2,yes
블루존,블루존,156056,r0_exact,2,yes
오필리,오필리,165264,r0_exact,2,yes
뉴트로지나,뉴트로지나,46138,r0_exact,2,yes
리베르,리베르,91868,r0_exact,2,yes
"Re,move",리무브,46092,r0_exact,2,yes
모이몰른,모이몰른,164858,r0_exact,2,yes
드로우핏 우먼,드로우핏,3382,r0_exact,2,yes
쿠첸,쿠첸,182,r0_exact,2,yes
윙블링,윙블링,143483,r0_exact,2,yes
Milktouch,밀크터치,130,r0_exact,2,yes
박카스,동아제약,128,r0_exact,2,yes
닥터슈라클,닥터슈라클,153574,r0_exact,2,yes
동원F&B,동원F&B,131,r0_exact,2,yes
듀얼소닉,듀얼소닉,82814,r0_exact,2,yes
begin202,비긴202,91865,r0_exact,2,yes
와이드앵글,와이드앵글,3943,r0_exact,2,yes
도로시와,도로시와,45342,r0_exact,2,yes
Vividmontage,비비드몽타주,144019,r0_exact,2,yes
Merrymonde,메리몽드,789,r0_exact,2,yes
바이애콤,바이애콤,3190,r0_exact,2,yes
Marlenkakorea,말렌카,50223,r1_decor,2,yes
Bobbi Brown Cosmetics,바비브라운,66949,r0_exact,2,yes
휴브론,휴브론,165426,r0_exact,2,yes
